제품명,거래처그룹,품목등급,추천_DOI기준,판단,P코드수,이니셜수,수요라인수,최초납기,오더수량,생산부족수량,사출부족수량,완제품재고,공정재고합계,사출재고,분리재고,검사접착재고,누수규격검사재고,DOI기준오더,DOI_가중,DOI_중앙값,DOI_최대,DOI_양수_P코드수,부족대비공정재고율,재고대비월수요율,우선순위점수
EYEQUE_ICE Gray_GIRL POWER,EYEQUE,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,7,2,8,2026-08-10,290,1770.0,0.0,15315.0,8749.0,0.0,8749.0,0,0,1000.0,2772.015,604.54,2559.34,3,4.9429378531073445,15.315,1091.25
PIA D_Sakana_55% UV,PIA,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,1,1,1,2026-08-20,200,612.0,612.0,1485.0,0.0,0.0,0.0,0,0,2200.0,122.17500000000001,122.175,122.175,1,0.0,0.675,1087.35
(영문)PIA_1D 55% Espresso 14.5,PIA,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,3,1,3,2026-08-20,150,589.0,589.0,1010.0,0.0,0.0,0.0,0,0,1500.0,121.87333333333333,74.6625,83.26,2,0.0,0.6733333333333333,1054.7
PIA_Tulle Brown_1D_55%_14.2,PIA,C급 저회전/소량,0~30일,유지/관찰,2,1,2,2026-08-20,300,590.0,590.0,2515.0,0.0,0.0,0.0,0,0,48400.0,9.405268595041322,39.59864718614719,72.81136363636364,2,0.0,0.05196280991735537,1026.25
EYEQUE D_PINK CHOC_106_LOVE,EYEQUE,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,7,1,7,2026-08-10,125,1219.0,177.0,7695.0,0.0,0.0,0.0,0,0,250.0,5571.18,800.02,800.02,1,0.0,30.78,1013.3499999999999
Peach Crush_3T_(PBT)PIA_M_(중)(Y),PIA,C급 저회전/소량,0~30일,유지/관찰,1,2,2,2026-08-20,200,503.0,503.0,36.0,0.0,0.0,0.0,0,0,200.0,32.58,32.58,32.58,1,0.0,0.18,963.6000000000001
EYEQUE D_LOVE ME TRUE_203_LOVE,EYEQUE,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,6,1,6,2026-08-10,130,1174.0,0.0,5165.0,4703.0,0.0,4703.0,0,0,500.0,1869.73,177.38,304.08,2,4.005962521294719,10.33,954.75
PIA D_Almond Poodle_55%_14.5 UV,PIA,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-20,200,518.0,518.0,1565.0,0.0,0.0,0.0,0,0,3200.0,88.5203125,88.5203125,88.5203125,1,0.0,0.4890625,914.1500000000001
BELLA_1-Day_Platinum Grey(8년),OPTICAL SUPPLIES,C급 저회전/소량,0~30일,유지/관찰,2,2,3,2026-08-07,140,869.0,0.0,545.0,0.0,0.0,0.0,0,0,7900.0,12.486708860759494,20.324152542372882,36.2,2,0.0,0.0689873417721519,883.75
BELLA D_Nerelle 55%,OPTICAL SUPPLIES,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-27,70,459.0,459.0,310.0,0.0,0.0,0.0,0,0,3000.0,18.703333333333333,18.703333333333333,18.703333333333333,1,0.0,0.10333333333333333,831.7
