제품명,거래처그룹,품목등급,추천_DOI기준,판단,P코드수,이니셜수,수요라인수,최초납기,오더수량,생산부족수량,사출부족수량,완제품재고,공정재고합계,사출재고,분리재고,검사접착재고,누수규격검사재고,DOI기준오더,DOI_가중,DOI_중앙값,DOI_최대,DOI_양수_P코드수,부족대비공정재고율,재고대비월수요율,우선순위점수
PIA D_BAGUMORE ICHIGO LATTE _55% UV 15.0,PIA,A급 주력/부족대응,30~60일,생산최우선: DOI 0/낮음 + 부족 큼,22,2,26,2026-08-23,70400,184457.0,455094.0,0.0,143910.0,76316.0,10224.0,38985,18385,0.0,0.0,0.0,0.0,0,0.7801818309958418,,569652.2
PIA D_GRAY TRAP_55% UV 14.5,PIA,B급 반복/중간,20~60일,생산우선: 부족 대비 완제품 낮음,25,2,46,2026-08-20,16500,180948.0,194200.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,341258.0
PIA D_NUDE WINK_55% UV 14.5,PIA,B급 반복/중간,20~60일,생산우선: 부족 대비 완제품 낮음,25,2,46,2026-08-20,16500,180948.0,194200.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,341258.0
PIA D_Date Topaz_38% UV,PIA,B급 반복/중간,20~60일,유지/관찰,13,1,13,2026-08-20,19000,62102.0,59143.0,96565.0,28861.0,28861.0,0.0,0,0,804700.0,21.720224928544802,18.78968401486989,36.136379613356766,13,0.4647354352516827,0.12000124269914254,110288.15
PIA D_Uniform Black_55% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,9,1,9,2026-08-20,4900,42150.0,42150.0,14190.0,0.0,0.0,0.0,0,0,209800.0,12.242087702573881,26.66565249266862,163.31136363636364,8,0.0,0.06763584366062918,76630.5
HAPA(PIA) D_Sugar High Kristin Ash Choco 14.2_55%,PIA,B급 반복/중간,20~60일,유지/관찰,7,1,7,2026-08-20,5200,39453.0,39453.0,22375.0,0.0,0.0,0.0,0,0,217000.0,18.663018433179722,57.437333333333335,80.0925,7,0.0,0.10311059907834101,71456.65
BELLA D_Ash Brown(8년),OPTICAL SUPPLIES,C급 저회전/소량,0~30일,유지/관찰,1,3,3,2026-08-27,3350,37084.0,37084.0,7080.0,0.0,0.0,0.0,0,0,794680.0,1.612573614536669,1.612573614536669,1.612573614536669,1,0.0,0.008909246489152867,67402.2
HAPA(PIA) D_Sugar High Kristin Beige 14.2_55% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,6,1,6,2026-08-20,3300,30872.0,30872.0,21600.0,0.0,0.0,0.0,0,0,125000.0,31.2768,48.769444444444446,114.03,6,0.0,0.1728,55479.600000000006
BELLA D_Rosewood(8년),OPTICAL SUPPLIES,C급 저회전/소량,0~30일,유지/관찰,3,3,6,2026-08-27,3154,30482.0,30482.0,11435.0,0.0,0.0,0.0,0,0,721630.0,2.8681387968903733,16.141498216409037,19.281786941580755,3,0.0,0.015846070701051786,55242.05
PIA D_Garnet_38% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,7,1,7,2026-08-20,4200,23364.0,23364.0,25190.0,0.0,0.0,0.0,0,0,153400.0,29.722229465449804,37.885784313725495,67.62361111111112,7,0.0,0.16421121251629725,42055.7
Alcon D_Allure Grey_W3C(APAC),Alcon,B급 반복/중간,20~60일,유지/관찰,2,2,3,2026-08-17,5480,17465.0,17030.0,10340.0,0.0,0.0,0.0,0,0,145290.0,12.881409594603896,34.85057542642816,60.00543478260869,2,0.0,0.07116800880996628,32216.0
ClearBeige Mini UV 14.2,from-eyes,C급 저회전/소량,0~30일,유지/관찰,7,2,10,2026-09-01,2000,17339.0,17339.0,7295.0,0.0,0.0,0.0,0,0,45500.0,29.01967032967033,40.2725,106.3375,7,0.0,0.16032967032967033,31445.45
PIA D_Glow Brown_38% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,3,1,3,2026-08-20,3600,17243.0,17243.0,21840.0,0.0,0.0,0.0,0,0,132900.0,29.744469525959367,28.618018433179724,47.46632653061224,3,0.0,0.16433408577878103,31025.4
PIA D_Idol Ring_38% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,7,1,7,2026-08-20,2900,18009.0,18009.0,54125.0,0.0,0.0,0.0,0,0,143400.0,68.31677126917712,114.45588235294116,132.54939024390242,7,0.0,0.3774407252440725,30579.949999999997
From D_(UV)Clear Beige_38%,from-eyes,C급 저회전/소량,0~30일,유지/관찰,11,1,11,2026-10-01,3300,16211.0,16211.0,19235.0,0.0,0.0,0.0,0,0,67500.0,51.5782962962963,48.4175,74.41111111111111,11,0.0,0.284962962962963,29208.050000000003
BELLA_1-Day_Almond Brown(8년),OPTICAL SUPPLIES,C급 저회전/소량,0~30일,유지/관찰,1,2,2,2026-08-27,2650,13382.0,13382.0,5765.0,0.0,0.0,0.0,0,0,772100.0,1.3514635409920994,1.3514635409920994,1.3514635409920994,1,0.0,0.007466649397746406,24594.35
BELLA_1-Day_Hazel Honey(8년),OPTICAL SUPPLIES,C급 저회전/소량,0~30일,유지/관찰,2,1,2,2026-08-27,1850,12993.0,12993.0,14360.0,0.0,0.0,0.0,0,0,277170.0,9.377493956777428,9.41656401710021,9.41656401710021,1,0.0,0.05180935887722336,23224.4
PIA D_Cream Rose_38% UV,PIA,B급 반복/중간,20~60일,공정대체 확인: WIP가 부족보다 큼,8,1,8,2026-08-20,7700,15475.0,8063.0,35180.0,26547.0,17285.0,6947.0,2315,0,311100.0,20.467952426872387,32.62574359462202,47.5810606060606,8,1.7154765751211631,0.11308261009321761,22476.4
HAPA(PIA) D_First Love Kristin Brown 14.2_38% UV,PIA,C급 저회전/소량,0~30일,공정대체 확인: WIP가 부족보다 큼,11,1,11,2026-08-20,2700,14899.0,9394.0,23505.0,23369.0,23369.0,0.0,0,0,87000.0,48.90120689655173,57.196,169.46125,11,1.568494529834217,0.27017241379310347,22048.95
KBS-C_1Day_Brown,ALENSA,C급 저회전/소량,0~30일,"생산확인: 완제품 DOI 없음, 부족 존재",31,1,31,2026-08-25,2489,20068.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,20814.7
BELLA D_VENUS 55%,OPTICAL SUPPLIES,C급 저회전/소량,0~30일,유지/관찰,2,3,4,2026-08-27,1640,11087.0,11087.0,5845.0,0.0,0.0,0.0,0,0,280200.0,3.7756780870806566,5.322790504362901,6.951635846372689,2,0.0,0.02086009992862241,20156.35
Freedom380_무지리드지,MAXVUE/OPTIMAX,B급 반복/중간,20~60일,"생산확인: 완제품 DOI 없음, 부족 존재",6,1,6,2026-08-17,19000,11940.0,2790.0,5955.0,7825.0,0.0,0.0,5405,2420,0.0,0.0,0.0,0.0,0,0.6553601340033501,,19574.25
(영문)PIA D_Dollish Brown_55% UV,PIA,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,13,1,13,2026-08-20,1250,8314.0,8314.0,5475.0,0.0,0.0,0.0,0,0,3000.0,330.325,163.805,173.76,6,0.0,1.825,15066.45
Sincere_2week UV_Clear,거래처 미지정,B급 반복/중간,20~60일,유지/관찰,5,1,5,2026-08-30,15000,10631.0,0.0,8484.0,0.0,0.0,0.0,0,0,48768.0,31.487942913385826,30.12375533428165,46.02708058124175,5,0.0,0.17396653543307086,14706.8
Jelly Quartz_PIA_M_(중),PIA,C급 저회전/소량,0~30일,유지/관찰,10,1,10,2026-08-20,4700,6732.0,6211.0,3200.0,5060.0,5060.0,0.0,0,0,34800.0,16.64367816091954,14.495083333333334,61.76625,10,0.7516339869281046,0.09195402298850575,12950.8
PIA D_Mocha Ring_38% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,6,1,6,2026-08-20,2100,7230.0,7230.0,17545.0,0.0,0.0,0.0,0,0,68200.0,46.563709677419354,39.78408110440034,78.6311475409836,6,0.0,0.25725806451612904,12766.75
KBS-C_1Day_Grey,ALENSA,C급 저회전/소량,0~30일,"생산확인: 완제품 DOI 없음, 부족 존재",30,1,30,2026-08-25,1235,11971.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,12341.5
PIA D_Oolong Tea_55% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,4,1,4,2026-08-20,1800,6745.0,6745.0,10795.0,0.0,0.0,0.0,0,0,182800.0,10.688703501094093,11.597423165070225,14.80509708737864,4,0.0,0.059053610503282276,12141.25
PIA D_Baby Espresso_38% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,3,1,3,2026-08-20,2100,6274.0,6274.0,15685.0,0.0,0.0,0.0,0,0,79600.0,35.66564070351759,43.56714876033058,43.99840425531915,3,0.0,0.19704773869346734,11138.95
From D_(UV)Clear Beige Coral_38%,from-eyes,C급 저회전/소량,0~30일,유지/관찰,8,1,8,2026-10-01,1050,6580.0,5429.0,4775.0,3518.0,3518.0,0.0,0,0,16000.0,54.017187500000006,39.82,244.35,8,0.5346504559270516,0.2984375,10999.45
(CA)PIA D_Dark Peony_55% UV,PIA,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,10,1,10,2026-08-20,850,6043.0,6043.0,3405.0,0.0,0.0,0.0,0,0,2500.0,246.52200000000002,102.26499999999999,148.42,2,0.0,1.362,10962.150000000001
(CA)PIA D_Uniform Black_55%_14.5 UV,PIA,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,10,1,10,2026-08-20,750,5768.0,5768.0,2610.0,0.0,0.0,0.0,0,0,4500.0,104.97999999999999,64.255,142.99,6,0.0,0.58,10476.900000000001
PIA D_Strawberry Quartz_38% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,4,1,4,2026-08-20,1100,5791.0,5791.0,6815.0,0.0,0.0,0.0,0,0,37800.0,32.63267195767195,30.769408754355396,67.74930555555555,4,0.0,0.18029100529100528,10413.05
Dollish Brown_PIA_M_(중)(Y),PIA,C급 저회전/소량,0~30일,유지/관찰,8,2,11,2026-08-20,3050,5455.0,5088.0,3877.0,2849.0,2849.0,0.0,0,0,27900.0,25.151863799283156,27.156703703703705,56.9584375,8,0.5222731439046746,0.13896057347670251,10246.55
(영문)PIA_Mirror Gray,PIA,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,12,1,12,2026-08-20,800,5442.0,5442.0,3355.0,0.0,0.0,0.0,0,0,1500.0,404.8366666666667,170.14,304.08,2,0.0,2.236666666666667,9867.85
PIA D_Grege Quartz 38% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,10,1,10,2026-08-20,2100,5581.0,5581.0,16285.0,0.0,0.0,0.0,0,0,83000.0,35.513072289156625,41.24590449082859,57.07338709677419,10,0.0,0.19620481927710842,9861.55
KBS-C_1Day_Green,ALENSA,C급 저회전/소량,0~30일,"생산확인: 완제품 DOI 없음, 부족 존재",11,1,11,2026-08-25,1264,9244.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,9623.2
ANW D_Through Beige_Dopewink 38%,Sincere,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,7,1,7,2026-09-01,840,5287.0,5287.0,3930.0,0.0,0.0,0.0,0,0,4900.0,145.16938775510204,77.57142857142858,537.8285714285714,6,0.0,0.8020408163265306,9572.1
Dark Peony_PIA_M_(중)(Y),PIA,C급 저회전/소량,0~30일,공정대체 확인: WIP가 부족보다 큼,5,2,7,2026-08-20,2600,5194.0,4413.0,1054.0,6936.0,5460.0,1476.0,0,0,8800.0,21.678863636363634,10.86,75.34125,5,1.3353869849826723,0.11977272727272727,9451.699999999999
(영문)PIA_1D 55% Matcha Latte,PIA,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,7,1,7,2026-08-20,700,5028.0,5028.0,2790.0,0.0,0.0,0.0,0,0,3500.0,144.28285714285715,109.505,157.47,3,0.0,0.7971428571428572,9120.9
(영문)PIA_Dazzle Beige,PIA,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,11,1,11,2026-08-20,950,4924.0,4924.0,5340.0,0.0,0.0,0.0,0,0,3000.0,322.18,61.540000000000006,75.115,3,0.0,1.78,8881.2
PIA D Toric_Dollish Gray_55% UV,PIA,C급 저회전/소량,0~30일,공정대체 확인: WIP가 부족보다 큼,9,1,9,2026-08-20,1200,6016.0,3071.0,5380.0,10327.0,0.0,6887.0,3440,0,43800.0,22.2324200913242,29.934615384615384,53.888636363636365,9,1.7165890957446808,0.1228310502283105,8563.8
Date Topaz_PIA_M_(중)(Y),PIA,C급 저회전/소량,0~30일,유지/관찰,4,1,4,2026-08-20,2300,4327.0,4327.0,1686.0,0.0,0.0,0.0,0,0,21400.0,14.260093457943926,13.94185734463277,43.74166666666667,4,0.0,0.07878504672897196,8394.300000000001
PIA D_Jelly Gray_38% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-20,400,4614.0,4614.0,2080.0,0.0,0.0,0.0,0,0,16200.0,23.23950617283951,23.23950617283951,23.23950617283951,1,0.0,0.12839506172839507,8321.2
(영문)PIA_Dazzle Gray,PIA,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,8,1,8,2026-08-20,650,4535.0,4535.0,2670.0,0.0,0.0,0.0,0,0,2500.0,193.30800000000002,117.65,175.57,3,0.0,1.068,8224.5
PIA D_Love Cacao_55%_14.2 UV,PIA,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-20,400,4355.0,4355.0,300.0,0.0,0.0,0.0,0,0,23200.0,2.3405172413793105,2.3405172413793105,2.3405172413793105,1,0.0,0.01293103448275862,7944.0
KBS-C_1Day_True Sapphire,ALENSA,C급 저회전/소량,0~30일,"생산확인: 완제품 DOI 없음, 부족 존재",15,1,15,2026-08-25,750,7559.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,7784.0
Alcon D_Allure Hazel_W3C(APAC),Alcon,C급 저회전/소량,0~30일,유지/관찰,3,2,3,2026-08-17,4760,4909.0,4909.0,53025.0,0.0,0.0,0.0,0,0,127170.0,75.47004010379806,75.94006309148266,78.35543187889581,3,0.0,0.4169615475347959,7612.950000000001
(영문)PIA_1D 55% Lemonade,PIA,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,8,1,8,2026-08-20,550,4111.0,4111.0,2030.0,0.0,0.0,0.0,0,0,3500.0,104.97999999999999,42.0825,52.49,4,0.0,0.58,7463.3
PIA D_Coffee Jelly_55% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,3,1,3,2026-08-20,2000,4262.0,4262.0,16400.0,0.0,0.0,0.0,0,0,158600.0,18.71626733921816,18.48924731182796,22.9312030075188,3,0.0,0.1034047919293821,7451.6
(영문)PIA D_Cafe Mocha_55% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,9,1,9,2026-08-20,550,4089.0,4089.0,2045.0,0.0,0.0,0.0,0,0,4500.0,82.25444444444445,37.648,97.74,5,0.0,0.45444444444444443,7422.950000000001
(영문)PIA_1D 55% Sheer Brown 14.2,PIA,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,11,1,11,2026-08-20,650,4031.0,4031.0,3110.0,0.0,0.0,0.0,0,0,3500.0,160.83142857142857,41.63,68.78,3,0.0,0.8885714285714286,7295.3
(영문)PIA D_Dollish Gray_55% UV,PIA,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,11,1,11,2026-08-20,700,3830.0,3830.0,3765.0,0.0,0.0,0.0,0,0,3000.0,227.15499999999997,83.26,86.88,3,0.0,1.255,6915.75
(영문)PIA_1D 55% Hot Chocolate,PIA,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,6,1,6,2026-08-20,550,3780.0,3780.0,2300.0,0.0,0.0,0.0,0,0,4000.0,104.07499999999999,57.015,90.5,4,0.0,0.575,6854.0
(CA)PIA D_Pink Bomb_55%_14.5 UV,PIA,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,6,1,6,2026-08-20,550,3723.0,3723.0,2350.0,0.0,0.0,0.0,0,0,2000.0,212.675,52.49,52.49,1,0.0,1.175,6748.9
(영문)PIA_1D 55% Lassie,PIA,C급 저회전/소량,0~30일,유지/관찰,5,1,5,2026-08-20,300,3427.0,3427.0,95.0,0.0,0.0,0.0,0,0,1000.0,17.195,5.43,5.43,1,0.0,0.095,6253.85
1D_55 clear feliamo,PIA,C급 저회전/소량,0~30일,유지/관찰,7,1,7,2026-08-20,420,6093.0,0.0,5770.0,0.0,0.0,0.0,0,0,36000.0,29.010277777777777,28.80497685185185,41.65873015873016,6,0.0,0.16027777777777777,5930.5
(영문)PIA D_SMOKEY BEIGE_55%,PIA,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,5,1,5,2026-08-20,450,3228.0,3228.0,1770.0,0.0,0.0,0.0,0,0,2000.0,160.185,48.870000000000005,48.870000000000005,1,0.0,0.885,5856.9
PIA_1D 55% YakisobaPan_1T,PIA,C급 저회전/소량,0~30일,유지/관찰,3,1,3,2026-08-20,700,3156.0,3156.0,6330.0,0.0,0.0,0.0,0,0,19600.0,58.45561224489796,64.37177419354839,92.58846153846152,3,0.0,0.3229591836734694,5574.3
(영문)PIA_1D 55% Fruit Punch,PIA,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,7,1,7,2026-08-20,400,3063.0,3063.0,1415.0,0.0,0.0,0.0,0,0,1000.0,256.115,64.255,64.255,1,0.0,1.415,5562.65
(영문)PIA_Coral Brown,PIA,C급 저회전/소량,0~30일,"생산확인: 완제품 DOI 없음, 부족 존재",7,1,7,2026-08-20,500,3029.0,3029.0,2440.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,5480.200000000001
ALENSA_1-DAY BL Metha,ALENSA,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,4,2,5,2026-08-21,302,3266.0,2720.0,5925.0,3295.0,0.0,0.0,0,3295,10290.0,104.2201166180758,126.87436741662093,182.63431151241537,4,1.0088793631353337,0.575801749271137,5236.35
PIA D_Princess Chocolat_55%_14.5 UV,PIA,C급 저회전/소량,0~30일,유지/관찰,3,1,3,2026-08-20,600,3144.0,3144.0,13360.0,0.0,0.0,0.0,0,0,28600.0,84.55104895104894,78.9656862745098,118.73206521739132,3,0.0,0.4671328671328671,5171.200000000001
(영문)PIA D_ZUNDA MOCHI_55% UV,PIA,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,4,1,4,2026-08-20,350,2838.0,2838.0,1090.0,0.0,0.0,0.0,0,0,2000.0,98.64500000000001,30.770000000000003,30.770000000000003,1,0.0,0.545,5158.9
PIA D_Sugar Donut_38% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,2,1,2,2026-08-20,300,2755.0,2755.0,665.0,0.0,0.0,0.0,0,0,2400.0,50.15208333333334,50.15208333333334,83.7125,2,0.0,0.27708333333333335,5015.75
BELLA_Ocean Blue(8년),OPTICAL SUPPLIES,C급 저회전/소량,0~30일,유지/관찰,1,2,2,2026-08-27,570,2613.0,2613.0,2975.0,0.0,0.0,0.0,0,0,88260.0,6.101008384319058,6.101008384319058,6.101008384319058,1,0.0,0.033707228642646726,4725.65
HAPA(PIA) D_Sugar High Kristin Plus Gray 14.2_55%,PIA,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,4,1,4,2026-08-20,1000,2756.0,2756.0,11675.0,0.0,0.0,0.0,0,0,14000.0,150.94107142857143,147.70354166666667,225.94833333333327,4,0.0,0.8339285714285715,4677.05
Cream Rose_PIA_M_(중),PIA,C급 저회전/소량,0~30일,유지/관찰,5,1,5,2026-08-20,2300,2261.0,2261.0,1743.0,0.0,0.0,0.0,0,0,26000.0,12.133961538461538,9.465810810810812,37.482083333333335,5,0.0,0.06703846153846153,4672.650000000001
PIA D_(영문)water water,PIA,C급 저회전/소량,0~30일,유지/관찰,3,1,3,2026-08-20,350,2531.0,2531.0,1360.0,0.0,0.0,0.0,0,0,3500.0,70.33142857142857,105.88499999999999,179.19,2,0.0,0.38857142857142857,4592.8
Bi-focal D_8.40_55%,OKVISION,B급 반복/중간,20~60일,유지/관찰,3,1,3,2026-08-31,12150,1362.0,0.0,10795.0,0.0,0.0,0.0,0,0,19560.0,99.89238241308794,109.09251700680272,218.11293859649123,3,0.0,0.5518916155419223,4467.25
(영문)PIA_1D 55% Cider,PIA,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,6,1,6,2026-08-20,400,2404.0,2404.0,1975.0,0.0,0.0,0.0,0,0,2000.0,178.7375,32.88166666666666,42.23333333333333,2,0.0,0.9875,4348.45
PIA D_Cream Grege_14.4,PIA,C급 저회전/소량,0~30일,공정대체 확인: WIP가 부족보다 큼,2,1,2,2026-08-20,600,2643.0,1754.0,3635.0,3569.0,0.0,3569.0,0,0,40000.0,16.448375,11.315382624621755,19.730124223602484,2,1.3503594400302685,0.090875,4044.45
PIA D_Melady Brown_38% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,2,1,2,2026-08-20,600,2167.0,2167.0,2155.0,0.0,0.0,0.0,0,0,25400.0,15.356496062992125,15.441307713963964,15.5546875,2,0.0,0.08484251968503936,3972.8500000000004
(영문)PIA D_Bubble Blue_55% UV,PIA,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,6,1,6,2026-08-20,450,2192.0,2192.0,2650.0,0.0,0.0,0.0,0,0,1500.0,319.76666666666665,201.5133333333333,201.5133333333333,1,0.0,1.7666666666666666,3948.1000000000004
(영문)PIA_1D_55% SabaTeishoku_2T,PIA,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,4,1,4,2026-08-20,300,2168.0,2168.0,1165.0,0.0,0.0,0.0,0,0,2000.0,105.4325,24.435,24.435,1,0.0,0.5825,3934.15
Coffee Jelly_PIA_M_(중)(Y),PIA,C급 저회전/소량,0~30일,공정대체 확인: WIP가 부족보다 큼,6,1,6,2026-08-20,4000,2848.0,0.0,2623.0,14410.0,8014.0,6396.0,0,0,58800.0,8.07420068027211,11.20641148325359,32.371153846153845,6,5.059691011235955,0.04460884353741497,3916.85
PIA D_Moon Melt Brown_55%_14.5 UV,PIA,C급 저회전/소량,0~30일,공정대체 확인: WIP가 부족보다 큼,1,1,1,2026-08-20,3600,3251.0,0.0,8290.0,45872.0,45872.0,0.0,0,0,139200.0,10.779382183908046,10.779382183908046,10.779382183908046,1,14.11011996308828,0.059554597701149424,3916.5
(영문)PIA_1D 55% Cappuccino 14.2,PIA,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,3,1,3,2026-08-20,300,2132.0,2132.0,1190.0,0.0,0.0,0.0,0,0,2000.0,107.695,67.875,67.875,1,0.0,0.595,3868.1000000000004
(영문)PIA_1D 55% Sheer Black 14.2,PIA,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,4,1,4,2026-08-20,300,2085.0,2085.0,1245.0,0.0,0.0,0.0,0,0,2500.0,90.138,32.218,32.218,1,0.0,0.498,3780.75
PIA D_Dream Gray_55% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-20,200,2037.0,2037.0,275.0,0.0,0.0,0.0,0,0,2200.0,22.625,22.625,22.625,1,0.0,0.125,3712.8500000000004
(영문)PIA D_RUSTY GRAY_55%,PIA,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,3,1,3,2026-08-20,300,1944.0,1944.0,1355.0,0.0,0.0,0.0,0,0,2500.0,98.102,47.784,47.784,1,0.0,0.542,3521.45
PIA D_Mocha Powder_55%_14.2 UV,PIA,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-20,300,1872.0,1872.0,1410.0,0.0,0.0,0.0,0,0,17200.0,14.83779069767442,14.83779069767442,14.83779069767442,1,0.0,0.08197674418604652,3389.1000000000004
PIA D_(영문)Cream Grege,PIA,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-20,200,1860.0,1860.0,420.0,0.0,0.0,0.0,0,0,3000.0,25.340000000000003,25.340000000000003,25.340000000000003,1,0.0,0.14,3387.0
PIA D_Brulee Pearl_55%_14.2 UV,PIA,C급 저회전/소량,0~30일,공정대체 확인: WIP가 부족보다 큼,1,1,1,2026-08-20,2100,3372.0,0.0,13675.0,18928.0,0.0,3408.0,15520,0,180200.0,13.735710321864595,13.735710321864596,13.735710321864596,1,5.613285883748517,0.07588790233074362,3318.25
BELLA D_EARTH 55%,OPTICAL SUPPLIES,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-27,350,1813.0,1813.0,2365.0,0.0,0.0,0.0,0,0,18120.0,23.62389624724062,23.62389624724062,23.62389624724062,1,0.0,0.1305187637969095,3250.15
Dazzle Beige_2T_(PBT)PIA_M(Y),PIA,C급 저회전/소량,0~30일,공정대체 확인: WIP가 부족보다 큼,4,2,6,2026-08-20,1000,1847.0,1408.0,569.0,4325.0,3589.0,736.0,0,0,9300.0,11.074086021505376,9.323230874316941,58.825,4,2.34163508391987,0.06118279569892473,3244.9500000000003
EYEQUE_BABY RING_GIRL POWER,EYEQUE,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,5,2,5,2026-08-10,675,3264.0,0.0,6190.0,21513.0,0.0,21513.0,0,0,2500.0,448.156,351.4416666666667,651.6,4,6.590992647058823,2.476,3157.0
(영문)PIA D_RUSTY BEIGE_55%,PIA,C급 저회전/소량,0~30일,"생산확인: 완제품 DOI 없음, 부족 존재",7,1,7,2026-08-20,350,1686.0,1686.0,2090.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,3035.3
Baby Espresso_PIA_M_중사각(Y),PIA,C급 저회전/소량,0~30일,유지/관찰,2,1,2,2026-08-20,800,1367.0,1367.0,618.0,0.0,0.0,0.0,0,0,13600.0,8.22485294117647,8.082586206896552,9.05,2,0.0,0.045441176470588235,2669.7000000000003
BELLA_Bluish Gray(8년),OPTICAL SUPPLIES,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-27,400,1483.0,1483.0,6040.0,0.0,0.0,0.0,0,0,161940.0,6.750895393355564,6.750895393355564,6.750895393355564,1,0.0,0.03729776460417439,2487.4
PIA D_Gem Chocolat_38% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,2,1,2,2026-08-20,400,1343.0,1343.0,2865.0,0.0,0.0,0.0,0,0,9400.0,55.166489361702126,51.577642276422765,56.3969512195122,2,0.0,0.3047872340425532,2394.15
EYEQUE_MILK CHOC_GIRL POWER,EYEQUE,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,8,1,8,2026-08-10,335,2911.0,0.0,12520.0,17453.0,0.0,17453.0,0,0,250.0,9064.48,0.0,0.0,0,5.9955341806939195,50.08,2385.5
Gray Bunny_PIA_M_(중)_14.2,PIA,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,1,1,1,2026-08-20,1900,1070.0,1070.0,3030.0,0.0,0.0,0.0,0,0,5000.0,109.68599999999999,109.686,109.686,1,0.0,0.606,2344.5
PIA D_Opal_38% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,3,1,3,2026-08-20,1200,1425.0,1425.0,12795.0,0.0,0.0,0.0,0,0,36600.0,63.27581967213114,58.46167883211679,105.39939024390245,3,0.0,0.3495901639344262,2285.25
(영문)PIA_1D 55% YakisobaPan_1T,PIA,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-20,150,1236.0,1236.0,455.0,0.0,0.0,0.0,0,0,1500.0,54.903333333333336,54.903333333333336,54.903333333333336,1,0.0,0.30333333333333334,2247.05
