class,item_group,거래처그룹,제품명,order,shortage,inj_short,pcodes,fg,doi_order,wip,doi_median,doi_max,doi_pos,doi_weighted,stock_cover_order_days
1-DAY,1-Day_Color_Sph_Fix,PIA,PIA D_Moon Stone_55% UV 14.5,600,1217.0,274.0,2,0.0,0.0,2060.0,0.0,0.0,0.0,0.0,103.0
FRP,FRP_Color_Sph,PIA,Mocha Ring_PIA_M_(중),600,412.0,0.0,2,1001.0,5400.0,3181.0,33.02504120879121,47.25392857142857,2.0,33.55203703703704,209.1
1-DAY,1-Day_Color_Sph,OPTICAL SUPPLIES,BELLA_Ocean Blue(8년),570,2613.0,2613.0,1,2975.0,88260.0,0.0,6.101008384319058,6.101008384319058,1.0,6.101008384319058,156.57894736842104
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA_1D 55% Lemonade,550,4111.0,4111.0,8,2030.0,3500.0,0.0,5.43,52.49,4.0,104.97999999999999,110.72727272727273
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA D_Cafe Mocha_55% UV,550,4089.0,4089.0,9,2045.0,4500.0,0.0,14.48,97.74,5.0,82.25444444444445,111.54545454545455
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA_1D 55% Hot Chocolate,550,3780.0,3780.0,6,2300.0,4000.0,0.0,49.775,90.5,4.0,104.07499999999999,125.45454545454545
1-DAY,1-Day_Color_Sph,PIA,(CA)PIA D_Pink Bomb_55%_14.5 UV,550,3723.0,3723.0,6,2350.0,2000.0,0.0,0.0,52.49,1.0,212.675,128.1818181818182
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA_Coral Brown,500,3029.0,3029.0,7,2440.0,0.0,0.0,0.0,0.0,0.0,0.0,146.4
1-DAY,1-Day_Color_Toric,PIA,PIA D Toric_TOPARDS Baby Espresso_55%_UV,500,1135.0,1135.0,4,4115.0,3800.0,0.0,423.0875,651.6,4.0,196.00394736842108,246.9
FRP,FRP_Color_Sph,PIA,Garnet_PIA_M_(중)(Y),500,333.0,0.0,3,679.0,5000.0,18384.0,27.15,28.28125,3.0,24.579800000000002,1143.78
1-DAY,1-Day_Color_Sph,PIA,PIA D_Melty Mist_55% UV,500,95.0,95.0,1,4920.0,13200.0,0.0,67.46363636363637,67.46363636363637,1.0,67.46363636363637,295.2
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA D_SMOKEY BEIGE_55%,450,3228.0,3228.0,5,1770.0,2000.0,0.0,0.0,48.870000000000005,1.0,160.185,118.0
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA D_Bubble Blue_55% UV,450,2192.0,2192.0,6,2650.0,1500.0,0.0,0.0,201.5133333333333,1.0,319.76666666666665,176.66666666666669
1-DAY,1-Day_Sph,PIA,1D_55 clear feliamo,420,6093.0,0.0,7,5770.0,36000.0,0.0,22.28981481481481,41.65873015873016,6.0,29.010277777777777,412.1428571428571
1-DAY,1-Day_Color_Sph,PIA,PIA D_Jelly Gray_38% UV,400,4614.0,4614.0,1,2080.0,16200.0,0.0,23.23950617283951,23.23950617283951,1.0,23.23950617283951,156.0
1-DAY,1-Day_Color_Sph,PIA,PIA D_Love Cacao_55%_14.2 UV,400,4355.0,4355.0,1,300.0,23200.0,0.0,2.3405172413793105,2.3405172413793105,1.0,2.3405172413793105,22.5
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA_1D 55% Fruit Punch,400,3063.0,3063.0,7,1415.0,1000.0,0.0,0.0,64.255,1.0,256.115,106.125
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA_1D 55% Cider,400,2404.0,2404.0,6,1975.0,2000.0,0.0,0.0,42.23333333333333,2.0,178.7375,148.125
1-DAY,1-Day_Color_Sph,OPTICAL SUPPLIES,BELLA_Bluish Gray(8년),400,1483.0,1483.0,1,6040.0,161940.0,0.0,6.750895393355564,6.750895393355564,1.0,6.750895393355564,453.0
1-DAY,1-Day_Color_Sph,PIA,PIA D_(영문)Cream Beige,400,1385.0,0.0,4,2640.0,3500.0,0.0,48.87,113.125,2.0,136.5257142857143,198.0
1-DAY,1-Day_Color_Sph,PIA,PIA D_Gem Chocolat_38% UV,400,1343.0,1343.0,2,2865.0,9400.0,0.0,51.577642276422765,56.3969512195122,2.0,55.166489361702126,214.875
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA D_ZUNDA MOCHI_55% UV,350,2838.0,2838.0,4,1090.0,2000.0,0.0,0.0,30.770000000000003,1.0,98.64500000000001,93.42857142857143
1-DAY,1-Day_Color_Sph,PIA,PIA D_(영문)water water,350,2531.0,2531.0,3,1360.0,3500.0,0.0,32.58,179.19,2.0,70.33142857142857,116.57142857142857
1-DAY,1-Day_Color_Sph,OPTICAL SUPPLIES,BELLA D_EARTH 55%,350,1813.0,1813.0,1,2365.0,18120.0,0.0,23.62389624724062,23.62389624724062,1.0,23.62389624724062,202.71428571428572
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA D_RUSTY BEIGE_55%,350,1686.0,1686.0,7,2090.0,0.0,0.0,0.0,0.0,0.0,0.0,179.14285714285714
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA D_HOJICHA LATTE_55%,350,1235.0,1214.0,5,2460.0,2000.0,0.0,0.0,63.8025,1.0,222.63,210.85714285714286
1-DAY,1-Day_Color_Sph,EYEQUE,EYEQUE_MILK CHOC_GIRL POWER,335,2911.0,0.0,8,12520.0,250.0,17453.0,0.0,0.0,0.0,9064.48,2684.1492537313434
1-DAY,1-Day_Color_Sph,ALENSA,ALENSA_1-DAY BL Metha,302,3266.0,2720.0,4,5925.0,10290.0,3295.0,126.87436741662093,182.63431151241537,4.0,104.2201166180758,915.8940397350993
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA_1D 55% Lassie,300,3427.0,3427.0,5,95.0,1000.0,0.0,0.0,5.43,1.0,17.195,9.5
1-DAY,1-Day_Color_Sph,PIA,PIA D_Sugar Donut_38% UV,300,2755.0,2755.0,2,665.0,2400.0,0.0,50.15208333333334,83.7125,2.0,50.15208333333334,66.5
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA_1D_55% SabaTeishoku_2T,300,2168.0,2168.0,4,1165.0,2000.0,0.0,0.0,24.435,1.0,105.4325,116.5
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA_1D 55% Cappuccino 14.2,300,2132.0,2132.0,3,1190.0,2000.0,0.0,0.0,67.875,1.0,107.695,119.0
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA_1D 55% Sheer Black 14.2,300,2085.0,2085.0,4,1245.0,2500.0,0.0,0.0,32.218,1.0,90.138,124.50000000000001
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA D_RUSTY GRAY_55%,300,1944.0,1944.0,3,1355.0,2500.0,0.0,0.0,47.784,1.0,98.102,135.5
1-DAY,1-Day_Color_Sph,PIA,PIA D_Mocha Powder_55%_14.2 UV,300,1872.0,1872.0,1,1410.0,17200.0,0.0,14.83779069767442,14.83779069767442,1.0,14.83779069767442,141.0
1-DAY,1-Day_Color_Sph,PIA,PIA_BROWN MANEGE,300,813.0,813.0,1,2315.0,5200.0,0.0,80.57980769230768,80.57980769230768,1.0,80.57980769230768,231.5
FRP,FRP_Color_Sph,PIA,Sakura Smore_PIA_M_(중)(Y),300,601.0,601.0,2,370.0,3400.0,0.0,18.64677083333333,36.501666666666665,2.0,19.697058823529414,37.0
1-DAY,1-Day_Color_Sph,PIA,PIA_Tulle Brown_1D_55%_14.2,300,590.0,590.0,2,2515.0,48400.0,0.0,39.59864718614719,72.81136363636364,2.0,9.405268595041322,251.5
FRP,FRP_Color_Sph,PIA,Tint Brown_1T_(PBT)PIA_M_(중)(Y),300,498.0,208.0,3,372.0,3800.0,6497.0,14.9325,28.70142857142857,3.0,17.718947368421052,686.9000000000001
1-DAY,1-Day_Color_Sph_Fix,PIA,PIA D_Rosy Nougat_55% UV 14.5,300,441.0,0.0,1,0.0,0.0,2310.0,0.0,0.0,0.0,0.0,231.0
1-DAY,1-Day_Color_Sph,PIA,PIA D_Dollish Gray_55% UV,300,142.0,142.0,1,2880.0,7200.0,0.0,72.4,72.4,1.0,72.4,288.0
1-DAY,1-Day_Color_Sph,EYEQUE,EYEQUE_ICE Gray_GIRL POWER,290,1770.0,0.0,7,15315.0,1000.0,8749.0,0.0,2559.34,3.0,2772.015,2489.3793103448274
1-DAY,1-Day_Color_Sph,EYEQUE,EYEQUE D_LET ME GO_204_LOVE,255,2023.0,0.0,8,10080.0,0.0,2350.0,0.0,0.0,0.0,0.0,1462.3529411764705
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA_1D 55% Coconuts,250,660.0,660.0,3,1950.0,1500.0,0.0,0.0,180.39666666666668,1.0,235.3,234.0
1-DAY,1-Day_Color_Sph,EYEQUE,EYEQUE D_Sweet Choco_GIRL POWER,235,1083.0,0.0,4,18095.0,2000.0,0.0,190.3516666666667,414.49,2.0,1637.5974999999999,2310.0
1-DAY,1-Day_Color_Sph,PIA,PIA D_Dream Gray_55% UV,200,2037.0,2037.0,1,275.0,2200.0,0.0,22.625,22.625,1.0,22.625,41.25
1-DAY,1-Day_Color_Sph,PIA,PIA_Lemonade_55%_1-DAY,200,1990.0,0.0,2,3535.0,8400.0,4015.0,76.17083333333333,129.0702380952381,2.0,76.17083333333333,1132.5
1-DAY,1-Day_Color_Sph,PIA,PIA D_(영문)Cream Grege,200,1860.0,1860.0,1,420.0,3000.0,0.0,25.340000000000003,25.340000000000003,1.0,25.340000000000003,63.0
1-DAY,1-Day_Color_Sph,PIA,PIA D_Crystal Bloom_38% UV,200,1166.0,1166.0,2,1530.0,4400.0,0.0,62.938636363636355,64.5840909090909,2.0,62.93863636363636,229.5
1-DAY,1-Day_Color_Sph,PIA,PIA D_Brown Bunny_55% UV,200,942.0,942.0,1,1625.0,6200.0,0.0,47.439516129032256,47.439516129032256,1.0,47.439516129032256,243.75
1-DAY,1-Day_Color_Sph,PIA,PIA D_Cinnamon Brown_38% UV,200,848.0,848.0,2,1300.0,2400.0,0.0,98.04166666666666,104.075,2.0,98.04166666666666,195.0
1-DAY,1-Day_Color_Sph,PIA,PIA_Matcha Latte_55%_1-DAY,200,837.0,837.0,2,1290.0,6000.0,0.0,39.20944976076555,40.31363636363636,2.0,38.915,193.5
1-DAY,1-Day_Color_Sph,PIA,PIA D_Honey Soda_38% UV,200,731.0,731.0,2,2395.0,5400.0,0.0,74.80390625,104.3578125,2.0,80.27685185185186,359.25
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA D_Chestnut_55% UV,200,625.0,625.0,4,1480.0,1500.0,0.0,148.42000000000002,164.71,3.0,178.58666666666667,222.0
1-DAY,1-Day_Color_Sph,PIA,PIA D_Sakana_55% UV,200,612.0,612.0,1,1485.0,2200.0,0.0,122.175,122.175,1.0,122.17500000000001,222.75
1-DAY,1-Day_Color_Sph,PIA,PIA D_Almond Poodle_55%_14.5 UV,200,518.0,518.0,1,1565.0,3200.0,0.0,88.5203125,88.5203125,1.0,88.5203125,234.75
FRP,FRP_Color_Sph,PIA,Peach Crush_3T_(PBT)PIA_M_(중)(Y),200,503.0,503.0,1,36.0,200.0,0.0,32.58,32.58,1.0,32.58,5.3999999999999995
FRP,FRP_Color_Sph,PIA,Affogato_PIA_M_(중)(Y),200,123.0,0.0,1,281.0,1600.0,2893.0,31.788125,31.788125,1.0,31.788125,476.09999999999997
