P5,row_count,qty_sum_dashboard,qty_max_single_row,qty_first_single_row,?????,????
P4410,23,17694.0,5533.0,14.0,BS0005,알루미늄리드지 (Monthly_무지)
P5358,25,17633.0,11006.0,117.0,BS0219,알루미늄리드지 (한국_하파크리스틴(1M) 핑크 중사각
P0590,6,17477.0,5812.0,3429.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P3064,8,17383.0,4730.0,1109.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P3016,7,17055.0,6051.0,2625.0,BS0095,알루미늄리드지 (러시아 Optic Center 1-Day GO 리드
P7008,3,16983.0,14921.0,14921.0,BS0036,알루미늄리드지 (PIA 1Day)_유광 코팅
P5399,17,16749.0,11290.0,11290.0,BS0219,알루미늄리드지 (한국_하파크리스틴(1M) 핑크 중사각
P0552,15,16352.0,4351.0,3295.0,BS0176,알루미늄리드지 (일본 sincere ITFA 1D 38% UV)_유광
P1245,37,15901.0,4895.0,920.0,BS0005,알루미늄리드지 (Monthly_무지)
P0174,6,15885.0,4336.0,4336.0,BS0149,알루미늄리드지 (Clalen O2O2 Color 1Day)_무광 코팅
