P5,row_count,qty_sum_dashboard,qty_max_single_row,qty_first_single_row,?????,????
P5339,3,3422.0,1690.0,1317.0,BS0176,알루미늄리드지 (일본 sincere ITFA 1D 38% UV)_유광
P0568,8,3416.0,736.0,337.0,BS0265,알루미늄리드지 (태국 MG Medical Group_HYA 중사각
P7523,10,3412.0,1461.0,1461.0,BS0317,알루미늄리드지 (PIA_1M 38% MOLAK 리드지)
P1084,5,3394.0,1725.0,1549.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P7006,2,3211.0,3211.0,3211.0,BS0036,알루미늄리드지 (PIA 1Day)_유광 코팅
P7536,12,3116.0,972.0,972.0,BS0337,알루미늄리드지 (PIA_1M 38% TOPARDS 리드지)
P4884,4,3093.0,1036.0,1036.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P4885,5,3033.0,979.0,524.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P0018,7,3002.0,1500.0,94.0,BS0007,알루미늄리드지 (원데이-데일리)_유광 코팅
P7020,4,2949.0,1119.0,938.0,BS0145,알루미늄리드지 (일본 PIA 1day 38% mimuco)_유광 코
P0509,5,2863.0,954.0,840.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P0610,4,2845.0,1135.0,1135.0,BS0266,알루미늄리드지 (태국 MG M_GLAM Nature Brown 중사각
P3502,99,2833.0,208.0,0.0,BS0005,알루미늄리드지 (Monthly_무지)
P1048,6,2786.0,2061.0,2061.0,BS0341,알루미늄리드지 (PIA_1M 38% Melady 리드지)
P7517,2,2529.0,2498.0,2498.0,BS0318,알루미늄리드지 (PIA_1M 38% feliamo 리드지)
P0108,5,2508.0,2103.0,2103.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P7533,5,2500.0,1199.0,1199.0,BS0317,알루미늄리드지 (PIA_1M 38% MOLAK 리드지)
P0107,4,2467.0,1420.0,0.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P7022,3,2322.0,1658.0,1658.0,BS0036,알루미늄리드지 (PIA 1Day)_유광 코팅
P4536,5,2233.0,1087.0,1087.0,BS0005,알루미늄리드지 (Monthly_무지)
P0105,4,2162.0,990.0,171.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P7036,5,2078.0,972.0,716.0,BS0337,알루미늄리드지 (PIA_1M 38% TOPARDS 리드지)
P4185,18,2034.0,358.0,46.0,BS0005,알루미늄리드지 (Monthly_무지)
P7524,4,1999.0,1701.0,1701.0,BS0317,알루미늄리드지 (PIA_1M 38% MOLAK 리드지)
P7537,9,1982.0,496.0,496.0,BS0337,알루미늄리드지 (PIA_1M 38% TOPARDS 리드지)
P4850,2,1865.0,1150.0,1150.0,BS0129,알루미늄리드지 (중국향 Clalen RINA 1-Day 리드지)_
P5291,1,1856.0,1856.0,1856.0,BS0054,알루미늄리드지 (국내/중국 원데이_아이리스)_무광 코
P3179,4,1830.0,762.0,379.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P7522,5,1786.0,1447.0,1447.0,BS0317,알루미늄리드지 (PIA_1M 38% MOLAK 리드지)
P5396,4,1782.0,1625.0,0.0,BS0231,알루미늄리드지(윙크컴퍼니 Winc Clear 1Day)_유광 코
P0228,6,1701.0,674.0,674.0,BS0173,알루미늄리드지 (일본 sincere ITW 1day UV)_유광 코
P2136,3,1639.0,840.0,63.0,BS0191,알루미늄리드지 (하파크리스틴_1Day Color)_유광 코팅
P5376,4,1607.0,1565.0,0.0,BS0204,알루미늄리드지 (OSC DYE 원데이 리드지)_유광코팅
P3059,1,1570.0,1570.0,1570.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P1090,6,1508.0,546.0,15.0,BS0318,알루미늄리드지 (PIA_1M 38% feliamo 리드지)
P2134,3,1472.0,891.0,891.0,BS0191,알루미늄리드지 (하파크리스틴_1Day Color)_유광 코팅
P7505,3,1440.0,1236.0,1236.0,BS0316,알루미늄리드지 (PIA_1M 38% LILMOON 리드지)
P5359,3,1431.0,498.0,456.0,BS0191,알루미늄리드지 (하파크리스틴_1Day Color)_유광 코팅
P1019,4,1385.0,969.0,969.0,BS0318,알루미늄리드지 (PIA_1M 38% feliamo 리드지)
P3140,2,1379.0,1088.0,1088.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P7519,3,1342.0,623.0,443.0,BS0317,알루미늄리드지 (PIA_1M 38% MOLAK 리드지)
P3229,4,1307.0,1307.0,0.0,BS0154,알루미늄리드지 (공용 Alcon Freshlook)_유광 코팅
